date,SPEI_3
2001-06-01,0.82
2001-07-01,0.44
2001-08-01,0.10
2002-06-01,0.35
2002-07-01,-0.12
2002-08-01,-0.48
2003-06-01,-0.72
2003-07-01,-1.05
2003-08-01,-1.22
2004-06-01,0.18
2004-07-01,-0.25
2004-08-01,-0.66
2005-06-01,1.12
2005-07-01,0.76
2005-08-01,0.41
2006-06-01,-0.32
2006-07-01,-0.88
2006-08-01,-1.36
2007-06-01,0.58
2007-07-01,0.22
2007-08-01,-0.14
2008-06-01,-0.05
2008-07-01,-0.54
2008-08-01,-0.97
2009-06-01,1.35
2009-07-01,0.91
2009-08-01,0.55
2010-06-01,0.02
2010-07-01,-0.38
2010-08-01,-0.79
2011-06-01,-1.10
2011-07-01,-1.45
2011-08-01,-1.68
2012-06-01,0.64
2012-07-01,0.16
2012-08-01,-0.28
