date,STI
2001-06-01,-0.35
2001-07-01,0.05
2001-08-01,0.42
2002-06-01,0.10
2002-07-01,0.48
2002-08-01,0.86
2003-06-01,0.72
2003-07-01,1.05
2003-08-01,1.34
2004-06-01,0.28
2004-07-01,0.62
2004-08-01,0.95
2005-06-01,-0.62
2005-07-01,-0.20
2005-08-01,0.18
2006-06-01,0.58
2006-07-01,1.02
2006-08-01,1.46
2007-06-01,-0.18
2007-07-01,0.24
2007-08-01,0.64
2008-06-01,0.38
2008-07-01,0.78
2008-08-01,1.12
2009-06-01,-0.82
2009-07-01,-0.44
2009-08-01,-0.06
2010-06-01,0.22
2010-07-01,0.66
2010-08-01,1.04
2011-06-01,0.92
2011-07-01,1.30
2011-08-01,1.58
2012-06-01,-0.28
2012-07-01,0.14
2012-08-01,0.52
